                          Bigram               Count*          Probability
                  Orkem declined           0.42362073         1.5501912E-5
                     declined to            2.5416667          9.300936E-5
                         to give             6.025974         2.2051355E-4
                    give details           0.42362073         1.5501912E-5
                      details of           0.42362073         1.5501912E-5
                          of its           15.5172415          5.678355E-4
                       its offer            3.1762295         1.1623045E-4
                         offer ,            1.5078534         5.5178152E-5
                        , saying            4.8774195         1.7848353E-4
                     saying only           0.42362073         1.5501912E-5
                       only that           0.42362073         1.5501912E-5
                        that the             54.01923         0.0019767713
                         the bid            1.5078534         5.5178152E-5
                        bid will           0.42362073         1.5501912E-5
                         will be            26.041666          9.529647E-4
                    be submitted           0.42362073         1.5501912E-5
                   submitted for           0.42362073         1.5501912E-5
                    for approval           0.42362073         1.5501912E-5
                     approval by            1.5078534         5.5178152E-5
                          by the                  0.0                  0.0
                       the board                  0.0                  0.0
                        board of            19.358025         7.0838456E-4
                          of the                  0.0                  0.0
                     the British            4.8774195         1.7848353E-4
                 British company           0.42362073         1.5501912E-5
                          But in           0.42362073         1.5501912E-5
                         in 1935           0.42362073         1.5501912E-5
                          1935 ,           0.42362073         1.5501912E-5
                          , when            13.090909          4.790467E-4
                   when Congress           0.42362073         1.5501912E-5
                    Congress was            1.5078534         5.5178152E-5
                      was trying           0.42362073         1.5501912E-5
                       trying to            11.870689         4.3439417E-4
                         to find            2.5416667          9.300936E-5
                    find someone           0.42362073         1.5501912E-5
                      someone or           0.42362073         1.5501912E-5
                    or something           0.42362073         1.5501912E-5
                    something to           0.42362073         1.5501912E-5
                        to blame           0.42362073         1.5501912E-5
                       blame for           0.42362073         1.5501912E-5
                         for the                  0.0                  0.0
                       the Great           0.42362073         1.5501912E-5
                Great Depression           0.42362073         1.5501912E-5
                    Depression ,           0.42362073         1.5501912E-5
                            , it            16.095238          5.889866E-4
                      it decided           0.42362073         1.5501912E-5
                      decided to            3.1762295         1.1623045E-4
                         to drop            1.5078534         5.5178152E-5
                       drop both           0.42362073         1.5501912E-5
                        both the            1.5078534         5.5178152E-5
                   the secretary            1.5078534         5.5178152E-5
                   secretary and           0.42362073         1.5501912E-5
                         and the                  0.0                  0.0
                 the comptroller            1.5078534         5.5178152E-5
                comptroller from           0.42362073         1.5501912E-5
                        from the            96.181816         0.0035196624
                       the board                  0.0                  0.0
         Treasury Undersecretary           0.42362073         1.5501912E-5
            Undersecretary David           0.42362073         1.5501912E-5
                   David Mulford           0.42362073         1.5501912E-5
                       Mulford ,           0.42362073         1.5501912E-5
                           , for            4.2777777         1.5654034E-4
                    for instance           0.42362073         1.5501912E-5
                      instance ,           0.42362073         1.5501912E-5
                           , was            53.019608         0.0019401913
                          was at            1.5078534         5.5178152E-5
                            at a            24.083334         8.8130176E-4
                       a meeting            1.5078534         5.5178152E-5
                      meeting of           0.42362073         1.5501912E-5
                          of the                  0.0                  0.0
                    the Business            2.5416667          9.300936E-5
                Business Council            2.5416667          9.300936E-5
                      Council in           0.42362073         1.5501912E-5
                          in Hot           0.42362073         1.5501912E-5
                     Hot Springs           0.42362073         1.5501912E-5
                       Springs ,           0.42362073         1.5501912E-5
                           , Va.           0.42362073         1.5501912E-5
                           Va. ,           0.42362073         1.5501912E-5
                          , when            13.090909          4.790467E-4
                        when the            4.2777777         1.5654034E-4
                       the stock            11.870689         4.3439417E-4
                    stock market            3.1762295         1.1623045E-4
                     market fell           0.42362073         1.5501912E-5
                          fell ,           0.42362073         1.5501912E-5
                           , and                  0.0                  0.0
                    and remained           0.42362073         1.5501912E-5
                  remained there           0.42362073         1.5501912E-5
                   there through           0.42362073         1.5501912E-5
                     through the             6.535948         2.3917545E-4
                   the following           0.42362073         1.5501912E-5
                   following day           0.42362073         1.5501912E-5
                         He will            4.8774195         1.7848353E-4
                     will remain            4.7115383          1.724133E-4
                 remain chairman            4.8774195         1.7848353E-4
                        The memo           0.42362073         1.5501912E-5
                   memo attempts           0.42362073         1.5501912E-5
                     attempts to            1.5078534         5.5178152E-5
                       to remove            1.5078534         5.5178152E-5
                      remove the           0.42362073         1.5501912E-5
                     the tourist            2.5416667          9.300936E-5
                   tourist board            2.5416667          9.300936E-5
                        board as            3.1762295         1.1623045E-4
                          as far           0.42362073         1.5501912E-5
                          far as           0.42362073         1.5501912E-5
                     as possible           0.42362073         1.5501912E-5
                   possible from           0.42362073         1.5501912E-5
                        from the            96.181816         0.0035196624
                      the agency            4.2777777         1.5654034E-4
                        agency ,           0.42362073         1.5501912E-5
                         , which                  0.0                  0.0
                   which pleaded           0.42362073         1.5501912E-5
                pleaded innocent           0.42362073         1.5501912E-5
                     innocent to           0.42362073         1.5501912E-5
                          to the                  0.0                  0.0
                     the charges           0.42362073         1.5501912E-5
                      J. Michael           0.42362073         1.5501912E-5
                    Michael Cook           0.42362073         1.5501912E-5
                          Cook ,           0.42362073         1.5501912E-5
                      , chairman                  0.0                  0.0
                     chairman of                  0.0                  0.0
                     of Deloitte           0.42362073         1.5501912E-5
                      Deloitte ,           0.42362073         1.5501912E-5
                       , Haskins           0.42362073         1.5501912E-5
                       Haskins &           0.42362073         1.5501912E-5
                         & Sells           0.42362073         1.5501912E-5
             Sells International           0.42362073         1.5501912E-5
                 International ,           0.42362073         1.5501912E-5
                          , said                  0.0                  0.0
                         said he            5.7619047         2.1085025E-4
                     he believes           0.42362073         1.5501912E-5
                    believes the           0.42362073         1.5501912E-5
                       the legal           0.42362073         1.5501912E-5
                    legal action            1.5078534         5.5178152E-5
                       action by           0.42362073         1.5501912E-5
                          by the                  0.0                  0.0
                     the British            4.8774195         1.7848353E-4
                    British firm           0.42362073         1.5501912E-5
                         firm ``           0.42362073         1.5501912E-5
                           `` to            3.1762295         1.1623045E-4
                           to be            30.035715         0.0010991223
                      be without           0.42362073         1.5501912E-5
                   without merit           0.42362073         1.5501912E-5
                        '' Other           0.42362073         1.5501912E-5
             Other conservatives           0.42362073         1.5501912E-5
           conservatives thought           0.42362073         1.5501912E-5
                      thought to            1.5078534         5.5178152E-5
                           to be            30.035715         0.0010991223
                           be on            1.5078534         5.5178152E-5
                          on the             67.01538         0.0024523505
              the administration            1.5078534         5.5178152E-5
               administration 's           0.42362073         1.5501912E-5
                        's short           0.42362073         1.5501912E-5
                      short list           0.42362073         1.5501912E-5
                    list include           0.42362073         1.5501912E-5
              include Washington           0.42362073         1.5501912E-5
               Washington lawyer           0.42362073         1.5501912E-5
                  lawyer Michael           0.42362073         1.5501912E-5
                 Michael Uhlmann           0.42362073         1.5501912E-5
                       Uhlmann ,           0.42362073         1.5501912E-5
                           , who                  0.0                  0.0
                         who was                 8.47          3.099499E-4
                      was passed           0.42362073         1.5501912E-5
                     passed over           0.42362073         1.5501912E-5
                        over for           0.42362073         1.5501912E-5
                         for the                  0.0                  0.0
                         the No.           0.42362073         1.5501912E-5
                           No. 2           0.42362073         1.5501912E-5
                           2 job           0.42362073         1.5501912E-5
                          job at           0.42362073         1.5501912E-5
                          at the            30.035715         0.0010991223
                     the Justice           0.42362073         1.5501912E-5
              Justice Department           0.42362073         1.5501912E-5
                    Department ,           0.42362073         1.5501912E-5
                           , and                  0.0                  0.0
                    and Marshall           0.42362073         1.5501912E-5
                 Marshall Breger           0.42362073         1.5501912E-5
                        Breger ,           0.42362073         1.5501912E-5
                      , chairman                  0.0                  0.0
                     chairman of                  0.0                  0.0
                            of a               10.816         3.9579903E-4
                          a U.S.           0.42362073         1.5501912E-5
                     U.S. agency           0.42362073         1.5501912E-5
                       agency on           0.42362073         1.5501912E-5
               on administration           0.42362073         1.5501912E-5
                         The new            3.1762295         1.1623045E-4
                    new products           0.42362073         1.5501912E-5
                  products allow           0.42362073         1.5501912E-5
                 allow customers           0.42362073         1.5501912E-5
                    customers to           0.42362073         1.5501912E-5
                          to add           0.42362073         1.5501912E-5
                      add Convex           0.42362073         1.5501912E-5
                 Convex machines           0.42362073         1.5501912E-5
                     machines to           0.42362073         1.5501912E-5
                  to established           0.42362073         1.5501912E-5
             established systems           0.42362073         1.5501912E-5
                    systems made           0.42362073         1.5501912E-5
                         made by           0.42362073         1.5501912E-5
                        by other           0.42362073         1.5501912E-5
             other manufacturers           0.42362073         1.5501912E-5
                 manufacturers ,           0.42362073         1.5501912E-5
                         , which                  0.0                  0.0
                        which ``           0.42362073         1.5501912E-5
                        `` opens           0.42362073         1.5501912E-5
                        opens up           0.42362073         1.5501912E-5
                            up a            1.5078534         5.5178152E-5
                    a phenomenal           0.42362073         1.5501912E-5
               phenomenal market           0.42362073         1.5501912E-5
                      market for           0.42362073         1.5501912E-5
                          for us            4.8774195         1.7848353E-4
                            us ,            2.5416667          9.300936E-5
                            , ''                  0.0                  0.0
                         '' said                  0.0                  0.0
                     said Robert            4.8774195         1.7848353E-4
                       Robert J.            1.5078534         5.5178152E-5
                       J. Paluck           0.42362073         1.5501912E-5
                        Paluck ,           0.42362073         1.5501912E-5
                        , Convex           0.42362073         1.5501912E-5
                       Convex 's           0.42362073         1.5501912E-5
                     's chairman                  0.0                  0.0
                      chairman ,                  0.0                  0.0
                     , president                  0.0                  0.0
                   president and             47.02222         0.0017207238
                       and chief                  0.0                  0.0
                 chief executive                  0.0                  0.0
                       Wilson H.           0.42362073         1.5501912E-5
                       H. Taylor           0.42362073         1.5501912E-5
                        Taylor ,            4.8774195         1.7848353E-4
                     , president                  0.0                  0.0
                   president and             47.02222         0.0017207238
                       and chief                  0.0                  0.0
                 chief executive                  0.0                  0.0
               executive officer            116.00877          0.004245207
                      officer of                  0.0                  0.0
                         of this                  0.0                  0.0
                  this insurance            2.5416667          9.300936E-5
                   insurance and           0.42362073         1.5501912E-5
                   and financial            3.1762295         1.1623045E-4
              financial services            1.5078534         5.5178152E-5
                services concern            4.8774195         1.7848353E-4
                       concern ,             6.535948         2.3917545E-4
                           , was            53.019608         0.0019401913
                     was elected            31.578947         0.0011555951
                      elected to            16.095238          5.889866E-4
                          to the                  0.0                  0.0
                  the additional                 8.47          3.099499E-4
                 additional post            3.1762295         1.1623045E-4
                         post of             6.025974         2.2051355E-4
                     of chairman            13.090909          4.790467E-4
                         The Fed            1.5078534         5.5178152E-5
                    Fed chairman            3.1762295         1.1623045E-4
                     chairman 's                 8.47          3.099499E-4
                      's caution           0.42362073         1.5501912E-5
                     caution was           0.42362073         1.5501912E-5
                    was apparent           0.42362073         1.5501912E-5
                  apparent again           0.42362073         1.5501912E-5
                        again on           0.42362073         1.5501912E-5
                          on the             67.01538         0.0024523505
                      the Monday           0.42362073         1.5501912E-5
                  Monday morning            1.5078534         5.5178152E-5
                   morning after           0.42362073         1.5501912E-5
                       after the             6.025974         2.2051355E-4
                      the market            4.7115383          1.724133E-4
                       market 's            3.1762295         1.1623045E-4
                       's plunge           0.42362073         1.5501912E-5
                        plunge ,           0.42362073         1.5501912E-5
                          , when            13.090909          4.790467E-4
                        when the            4.2777777         1.5654034E-4
                     the central            2.5416667          9.300936E-5
                    central bank            2.5416667          9.300936E-5
                       bank took           0.42362073         1.5501912E-5
                       took only           0.42362073         1.5501912E-5
                     only modest           0.42362073         1.5501912E-5
                    modest steps           0.42362073         1.5501912E-5
                        steps to           0.42362073         1.5501912E-5
                          to aid           0.42362073         1.5501912E-5
                         aid the           0.42362073         1.5501912E-5
                     the markets            2.5416667          9.300936E-5
                     Cipher Data           0.42362073         1.5501912E-5
                       Data said           0.42362073         1.5501912E-5
                        said Mr.            16.095238          5.889866E-4
                    Mr. Marinaro           0.42362073         1.5501912E-5
           Marinaro consequently           0.42362073         1.5501912E-5
                consequently has           0.42362073         1.5501912E-5
                    has resigned           0.42362073         1.5501912E-5
                   resigned from            1.5078534         5.5178152E-5
                      from those           0.42362073         1.5501912E-5
                     those posts            3.1762295         1.1623045E-4
                       posts and           0.42362073         1.5501912E-5
                        and from           0.42362073         1.5501912E-5
                        from the            96.181816         0.0035196624
                     the company              86.0119         0.0031475062
                      company 's             44.02381         0.0016110005
                        's board                  0.0                  0.0
                    Most notably           0.42362073         1.5501912E-5
                       notably ,           0.42362073         1.5501912E-5
                       , several            1.5078534         5.5178152E-5
                      several of           0.42362073         1.5501912E-5
                          of the                  0.0                  0.0
                  the regulatory           0.42362073         1.5501912E-5
                regulatory steps           0.42362073         1.5501912E-5
               steps recommended           0.42362073         1.5501912E-5
                  recommended by           0.42362073         1.5501912E-5
                          by the                  0.0                  0.0
                       the Brady           0.42362073         1.5501912E-5
                      Brady Task           0.42362073         1.5501912E-5
                      Task Force            1.5078534         5.5178152E-5
                         Force ,            1.5078534         5.5178152E-5
                         , which                  0.0                  0.0
                  which analyzed           0.42362073         1.5501912E-5
                    analyzed the            1.5078534         5.5178152E-5
                        the 1987            2.5416667          9.300936E-5
                      1987 crash            2.5416667          9.300936E-5
                         crash ,           0.42362073         1.5501912E-5
                         , would            11.870689         4.3439417E-4
                        would be            5.7619047         2.1085025E-4
                      be revived           0.42362073         1.5501912E-5
                      revived --           0.42362073         1.5501912E-5
                   -- especially           0.42362073         1.5501912E-5
              especially because           0.42362073         1.5501912E-5
                    because that           0.42362073         1.5501912E-5
                      that group            1.5078534         5.5178152E-5
                        group 's            4.8774195         1.7848353E-4
                     's chairman                  0.0                  0.0
                     chairman is            3.1762295         1.1623045E-4
                          is now           0.42362073         1.5501912E-5
                         now the            1.5078534         5.5178152E-5
                    the Treasury             6.025974         2.2051355E-4
              Treasury secretary           0.42362073         1.5501912E-5
                     Mr. Gaubert           0.42362073         1.5501912E-5
                       Gaubert ,           0.42362073         1.5501912E-5
                           , who                  0.0                  0.0
                         who was                 8.47          3.099499E-4
                    was chairman            4.2777777         1.5654034E-4
                    chairman and                  0.0                  0.0
                         and the                  0.0                  0.0
                    the majority           0.42362073         1.5501912E-5
            majority stockholder           0.42362073         1.5501912E-5
                  stockholder of           0.42362073         1.5501912E-5
                  of Independent            1.5078534         5.5178152E-5
            Independent American           0.42362073         1.5501912E-5
                      American ,           0.42362073         1.5501912E-5
                           , had            4.8774195         1.7848353E-4
                had relinquished           0.42362073         1.5501912E-5
                relinquished his           0.42362073         1.5501912E-5
                     his control            1.5078534         5.5178152E-5
                      control in            1.5078534         5.5178152E-5
                     in exchange           0.42362073         1.5501912E-5
                    exchange for           0.42362073         1.5501912E-5
                     for federal           0.42362073         1.5501912E-5
              federal regulators            1.5078534         5.5178152E-5
                    regulators '           0.42362073         1.5501912E-5
                     ' agreement           0.42362073         1.5501912E-5
                    agreement to           0.42362073         1.5501912E-5
                         to drop            1.5078534         5.5178152E-5
                      drop their           0.42362073         1.5501912E-5
                   their inquiry           0.42362073         1.5501912E-5
                    inquiry into           0.42362073         1.5501912E-5
                        into his            2.5416667          9.300936E-5
                  his activities           0.42362073         1.5501912E-5
                   activities at           0.42362073         1.5501912E-5
                      at another           0.42362073         1.5501912E-5
                 another savings           0.42362073         1.5501912E-5
                     savings and            1.5078534         5.5178152E-5
                        and loan            1.5078534         5.5178152E-5
                        And Bill           0.42362073         1.5501912E-5
                 Bill Konopnicki           0.42362073         1.5501912E-5
                    Konopnicki ,           0.42362073         1.5501912E-5
                             , a                  0.0                  0.0
                       a Safford           0.42362073         1.5501912E-5
                       Safford ,           0.42362073         1.5501912E-5
                         , Ariz.           0.42362073         1.5501912E-5
                         Ariz. ,           0.42362073         1.5501912E-5
                      , licensee           0.42362073         1.5501912E-5
                     licensee of           0.42362073         1.5501912E-5
                     of McDonald           0.42362073         1.5501912E-5
                     McDonald 's           0.42362073         1.5501912E-5
                        's Corp.           0.42362073         1.5501912E-5
                       Corp. who            1.5078534         5.5178152E-5
                          who is            4.7115383          1.724133E-4
                     is chairman            16.095238          5.889866E-4
                     chairman of                  0.0                  0.0
                          of the                  0.0                  0.0
                     the company              86.0119         0.0031475062
                      company 's             44.02381         0.0016110005
                     's National           0.42362073         1.5501912E-5
              National Operators           0.42362073         1.5501912E-5
              Operators Advisory           0.42362073         1.5501912E-5
                  Advisory Board            1.5078534         5.5178152E-5
                         Board ,            2.5416667          9.300936E-5
                          , says            16.095238          5.889866E-4
                       says some           0.42362073         1.5501912E-5
                  some fast-food           0.42362073         1.5501912E-5
               fast-food outlets           0.42362073         1.5501912E-5
                      outlets ``           0.42362073         1.5501912E-5
                        `` could           0.42362073         1.5501912E-5
                        could be            2.5416667          9.300936E-5
                           be in           0.42362073         1.5501912E-5
                      in serious           0.42362073         1.5501912E-5
                 serious trouble           0.42362073         1.5501912E-5
                       trouble ,           0.42362073         1.5501912E-5
                         , based           0.42362073         1.5501912E-5
                        based on            1.5078534         5.5178152E-5
                          on the             67.01538         0.0024523505
                      the amount            1.5078534         5.5178152E-5
                       amount of            1.5078534         5.5178152E-5
                  of discounting           0.42362073         1.5501912E-5
                discounting that           0.42362073         1.5501912E-5
                      that seems           0.42362073         1.5501912E-5
                        seems to           0.42362073         1.5501912E-5
                           to be            30.035715         0.0010991223
                        be going           0.42362073         1.5501912E-5
                        going on           0.42362073         1.5501912E-5
                      '' Richard           0.42362073         1.5501912E-5
                 Richard Breeden            1.5078534         5.5178152E-5
                       Breeden ,           0.42362073         1.5501912E-5
                           , the                  0.0                  0.0
                         the new            31.304348         0.0011455464
                    new chairman            4.2777777         1.5654034E-4
                     chairman of                  0.0                  0.0
                          of the                  0.0                  0.0
                         the SEC            2.5416667          9.300936E-5
                           SEC ,           0.42362073         1.5501912E-5
                           , has            16.095238          5.889866E-4
                         has n't             6.535948         2.3917545E-4
                       n't taken           0.42362073         1.5501912E-5
                         taken a           0.42362073         1.5501912E-5
                        a formal            2.5416667          9.300936E-5
                 formal position           0.42362073         1.5501912E-5
                     position on           0.42362073         1.5501912E-5
                          on the             67.01538         0.0024523505
                        the bill            4.2777777         1.5654034E-4
                          bill ,           0.42362073         1.5501912E-5
                         , which                  0.0                  0.0
                     which would            1.5078534         5.5178152E-5
                      would also            3.1762295         1.1623045E-4
                    also require           0.42362073         1.5501912E-5
               require investors           0.42362073         1.5501912E-5
                    investors to           0.42362073         1.5501912E-5
                     to disclose           0.42362073         1.5501912E-5
                  disclose large           0.42362073         1.5501912E-5
                    large trades           0.42362073         1.5501912E-5
                      trades and           0.42362073         1.5501912E-5
                        and give           0.42362073         1.5501912E-5
                        give the            4.8774195         1.7848353E-4
                         the SEC            2.5416667          9.300936E-5
                  SEC additional           0.42362073         1.5501912E-5
            additional authority           0.42362073         1.5501912E-5
                authority during           0.42362073         1.5501912E-5
                   during market           0.42362073         1.5501912E-5
              market emergencies           0.42362073         1.5501912E-5
                           And ,            2.5416667          9.300936E-5
                          , with             6.535948         2.3917545E-4
                         with no            1.5078534         5.5178152E-5
                        no other           0.42362073         1.5501912E-5
                    other offers           0.42362073         1.5501912E-5
                       offers on           0.42362073         1.5501912E-5
                          on the             67.01538         0.0024523505
                       the table            1.5078534         5.5178152E-5
                         table ,           0.42362073         1.5501912E-5
                           , the                  0.0                  0.0
                       the board                  0.0                  0.0
                board apparently           0.42362073         1.5501912E-5
                 apparently felt           0.42362073         1.5501912E-5
                         felt no           0.42362073         1.5501912E-5
                     no pressure           0.42362073         1.5501912E-5
                     pressure to            2.5416667          9.300936E-5
                          to act           0.42362073         1.5501912E-5
                          act on           0.42362073         1.5501912E-5
                           on it           0.42362073         1.5501912E-5
                            In a            13.090909          4.790467E-4
                     a statement            16.095238          5.889866E-4
                     statement ,            4.8774195         1.7848353E-4
                         , Craig           0.42362073         1.5501912E-5
                        Craig O.           0.42362073         1.5501912E-5
                        O. McCaw           0.42362073         1.5501912E-5
                         McCaw ,            1.5078534         5.5178152E-5
                      , chairman                  0.0                  0.0
                    chairman and                  0.0                  0.0
                       and chief                  0.0                  0.0
                 chief executive                  0.0                  0.0
               executive officer            116.00877          0.004245207
                      officer of                  0.0                  0.0
                        of McCaw           0.42362073         1.5501912E-5
                         McCaw ,            1.5078534         5.5178152E-5
                          , said                  0.0                  0.0
                          said :            4.2777777         1.5654034E-4
                            : ``            16.095238          5.889866E-4
                           `` We            4.7115383          1.724133E-4
                        We trust           0.42362073         1.5501912E-5
                       trust LIN           0.42362073         1.5501912E-5
                        LIN will           0.42362073         1.5501912E-5
                       will take            2.5416667          9.300936E-5
                         take no           0.42362073         1.5501912E-5
                      no further           0.42362073         1.5501912E-5
                 further actions           0.42362073         1.5501912E-5
                    actions that           0.42362073         1.5501912E-5
                      that favor           0.42362073         1.5501912E-5
