                          Bigram                Count          Probability
                           , who                   63          0.008387943
                        who will                    8         0.0015778401
                     will remain                   13         0.0024475525
                       remain as                    1          3.553029E-4
                     as chairman                   25          0.004517026
                      chairman ,                   92          0.015097403
                     , president                   35         0.0047182175
                   president and                   45          0.008075843
                       and chief                  157          0.025147222
                 chief executive                  164          0.028467909
                        Ralph T.                    1         3.5650624E-4
                      T. Linsley                    1         3.5612535E-4
                       Linsley ,                    1         3.5669698E-4
                          , vice                   16         0.0022280472
                   vice chairman                   43         0.0077711055
                     chairman of                  225          0.036688313
                        of Eagle                    2          4.584352E-4
                         Eagle ,                    2         5.3495006E-4
                          , will                   21         0.0028833551
                     will become                    8         0.0015734265
                     become vice                    3         7.1212393E-4
                   vice chairman                   43         0.0077711055
                     chairman of                  225          0.036688313
               of Webster\/Eagle                    1          3.056235E-4
                  Orkem declined                    1         3.5669698E-4
                     declined to                    3          7.128854E-4
                         to give                    7         0.0012789768
                    give details                    1         3.5599858E-4
                      details of                    1          3.566334E-4
                          of its                   29          0.004584352
                       its offer                    4          8.718396E-4
                         offer ,                    2          5.322924E-4
                        , saying                    5          7.863696E-4
                     saying only                    1         3.5612535E-4
                       only that                    1          3.557453E-4
                        that the                   52          0.009039741
                         the bid                    2         4.2637862E-4
                        bid will                    1          3.549246E-4
                         will be                   24         0.0043706293
                    be submitted                    1          3.500175E-4
                   submitted for                    1         3.5669698E-4
                    for approval                    1          3.471017E-4
                     approval by                    2          5.345688E-4
                          by the                   43           0.00766417
                       the board                  144            0.0206083
                        board of                   27         0.0046885465
                          of the                  266          0.040800735
                     the British                    5         8.5275725E-4
                 British company                    1          3.558719E-4
                          But in                    1          3.549246E-4
                         in 1935                    1          3.352892E-4
                          1935 ,                    1         3.5669698E-4
                          , when                   11         0.0015727392
                   when Congress                    1         3.5498757E-4
                    Congress was                    2          5.342832E-4
                      was trying                    1          3.459609E-4
                       trying to                    8          0.001603135
                         to find                    3          6.394884E-4
                    find someone                    1          3.565698E-4
                      someone or                    1          3.566334E-4
                    or something                    1         3.5323208E-4
                    something to                    1          3.563157E-4
                        to blame                    1          3.197442E-4
                       blame for                    1         3.5669698E-4
                         for the                   40          0.007115585
                       the Great                    1         2.8425243E-4
                Great Depression                    1         3.5650624E-4
                    Depression ,                    1         3.5669698E-4
                            , it                   12         0.0017038007
                      it decided                    1         3.5063113E-4
                      decided to                    4         8.9078926E-4
                         to drop                    2          4.796163E-4
                       drop both                    1         3.5618877E-4
                        both the                    2          5.345688E-4
                   the secretary                    2         4.2637862E-4
                   secretary and                    1          3.563792E-4
                         and the                   40          0.006525545
                 the comptroller                    2         4.2637862E-4
                comptroller from                    1          3.566334E-4
                        from the                   22         0.0040436005
                       the board                  144            0.0206083
         Treasury Undersecretary                    1         3.5599858E-4
            Undersecretary David                    1          3.566334E-4
                   David Mulford                    1         3.5555556E-4
                       Mulford ,                    1         3.5669698E-4
                           , for                    6          9.174312E-4
                    for instance                    1          3.471017E-4
                      instance ,                    1         3.5669698E-4
                           , was                   51          0.006815203
                          was at                    2          5.189414E-4
                            at a                   16           0.00297932
                       a meeting                    2          4.848093E-4
                      meeting of                    1         3.5536604E-4
                          of the                  266          0.040800735
                    the Business                    3         5.6850485E-4
                Business Council                    3         7.1250444E-4
                      Council in                    1         3.5618877E-4
                          in Hot                    1          3.352892E-4
                     Hot Springs                    1         3.5669698E-4
                       Springs ,                    1         3.5669698E-4
                           , Va.                    1          2.621232E-4
                           Va. ,                    1         3.5669698E-4
                          , when                   11         0.0015727392
                        when the                    6         0.0012424565
                       the stock                    8         0.0012791358
                    stock market                    4          8.855827E-4
                     market fell                    1         3.5391966E-4
                          fell ,                    1         3.5650624E-4
                           , and                   88          0.011664483
                    and remained                    1         3.1831927E-4
                  remained there                    1         3.5669698E-4
                   there through                    1         3.5561877E-4
                     through the                    9         0.0017780939
                   the following                    1         2.8425243E-4
                   following day                    1          3.566334E-4
                         He will                    5         0.0010636412
                     will remain                   13         0.0024475525
                 remain chairman                    5         0.0010659087
                        The memo                    1         3.4734284E-4
                   memo attempts                    1          3.566334E-4
                     attempts to                    2         5.3495006E-4
                       to remove                    2          4.796163E-4
                      remove the                    1          3.566334E-4
                     the tourist                    3         5.6850485E-4
                   tourist board                    3          7.131396E-4
                        board as                    4          8.372405E-4
                          as far                    1         3.4746353E-4
                          far as                    1          3.564427E-4
                     as possible                    1         3.4746353E-4
                   possible from                    1          3.565698E-4
                        from the                   22         0.0040436005
                      the agency                    6          9.948835E-4
                        agency ,                    1          3.558719E-4
                         , which                   37         0.0049803406
                   which pleaded                    1         3.5379446E-4
                pleaded innocent                    1         3.5669698E-4
                     innocent to                    1         3.5669698E-4
                          to the                   85          0.013749001
                     the charges                    1         2.8425243E-4
                      J. Michael                    1         3.5511365E-4
                    Michael Cook                    1         3.5593522E-4
                          Cook ,                    1         3.5669698E-4
                      , chairman                  187           0.02463958
                     chairman of                  225          0.036688313
                     of Deloitte                    1          3.056235E-4
                      Deloitte ,                    1         3.5669698E-4
                       , Haskins                    1          2.621232E-4
                       Haskins &                    1         3.5669698E-4
                         & Sells                    1         3.5423308E-4
             Sells International                    1          3.565698E-4
                 International ,                    1         3.5599858E-4
                          , said                  100          0.013237221
                         said he                   21         0.0037370478
                     he believes                    1         3.5137034E-4
                    believes the                    1         3.5669698E-4
                       the legal                    1         2.8425243E-4
                    legal action                    2         5.3447357E-4
                       action by                    1         3.5650624E-4
                          by the                   43           0.00766417
                     the British                    5         8.5275725E-4
                    British firm                    1          3.558719E-4
                         firm ``                    1          3.549246E-4
                           `` to                    4         8.5411686E-4
                           to be                   28          0.004636291
                      be without                    1          3.500175E-4
                   without merit                    1         3.5650624E-4
                        '' Other                    1         3.4205575E-4
             Other conservatives                    1         3.5650624E-4
           conservatives thought                    1         3.5669698E-4
                      thought to                    2          5.348547E-4
                           to be                   28          0.004636291
                           be on                    2         5.2502623E-4
                          on the                   65          0.011466296
              the administration                    2         4.2637862E-4
               administration 's                    1         3.5606197E-4
                        's short                    1          3.338341E-4
                      short list                    1          3.566334E-4
                    list include                    1          3.566334E-4
              include Washington                    1          3.563157E-4
               Washington lawyer                    1          3.563792E-4
                  lawyer Michael                    1         3.5669698E-4
                 Michael Uhlmann                    1         3.5593522E-4
                       Uhlmann ,                    1         3.5669698E-4
                           , who                   63          0.008387943
                         who was                   10         0.0019284713
                      was passed                    1          3.459609E-4
                     passed over                    1          3.566334E-4
                        over for                    1          3.554292E-4
                         for the                   40          0.007115585
                         the No.                    1         2.8425243E-4
                           No. 2                    1         3.5669698E-4
                           2 job                    1          3.563157E-4
                          job at                    1          3.564427E-4
                          at the                   28         0.0050823693
                     the Justice                    1         2.8425243E-4
              Justice Department                    1         3.5669698E-4
                    Department ,                    1          3.565698E-4
                           , and                   88          0.011664483
                    and Marshall                    1         3.1831927E-4
                 Marshall Breger                    1         3.5650624E-4
                        Breger ,                    1         3.5669698E-4
                      , chairman                  187           0.02463958
                     chairman of                  225          0.036688313
                            of a                   25          0.003973105
                          a U.S.                    1         3.2320622E-4
                     U.S. agency                    1          3.558719E-4
                       agency on                    1          3.558719E-4
               on administration                    1         3.4746353E-4
                         The new                    4          8.683571E-4
                    new products                    1         3.5260932E-4
                  products allow                    1         3.5593522E-4
                 allow customers                    1          3.565698E-4
                    customers to                    1          3.563792E-4
                          to add                    1          3.197442E-4
                      add Convex                    1          3.566334E-4
                 Convex machines                    1          3.566334E-4
                     machines to                    1         3.5669698E-4
                  to established                    1          3.197442E-4
             established systems                    1          3.565698E-4
                    systems made                    1          3.564427E-4
                         made by                    1         3.5555556E-4
                        by other                    1         3.4837137E-4
             other manufacturers                    1         3.5454705E-4
                 manufacturers ,                    1         3.5669698E-4
                         , which                   37         0.0049803406
                        which ``                    1         3.5379446E-4
                        `` opens                    1         3.4164675E-4
                        opens up                    1         3.5669698E-4
                            up a                    2          5.321036E-4
                    a phenomenal                    1         3.2320622E-4
               phenomenal market                    1         3.5669698E-4
                      market for                    1         3.5391966E-4
                          for us                    5         0.0010413051
                            us ,                    3         7.1237754E-4
                            , ''                  115          0.015203145
                         '' said                   48          0.008380366
                     said Robert                    5         0.0010191948
                       Robert J.                    2          5.313496E-4
                       J. Paluck                    1         3.5511365E-4
                        Paluck ,                    1         3.5669698E-4
                        , Convex                    1          2.621232E-4
                       Convex 's                    1          3.566334E-4
                     's chairman                   66          0.011183442
                      chairman ,                   92          0.015097403
                     , president                   35         0.0047182175
                   president and                   45          0.008075843
                       and chief                  157          0.025147222
                 chief executive                  164          0.028467909
                       Wilson H.                    1         3.5669698E-4
                       H. Taylor                    1         3.5606197E-4
                        Taylor ,                    5         0.0010683761
                     , president                   35         0.0047182175
                   president and                   45          0.008075843
                       and chief                  157          0.025147222
                 chief executive                  164          0.028467909
               executive officer                  114          0.019844694
                      officer of                   46          0.008186727
                         of this                   53          0.008251834
                  this insurance                    3          7.021239E-4
                   insurance and                    1         3.5625222E-4
                   and financial                    4          7.957982E-4
              financial services                    2         5.3295435E-4
                services concern                    5         0.0010678057
                       concern ,                    9         0.0017777778
                           , was                   51          0.006815203
                     was elected                   19          0.003459609
                      elected to                   12         0.0023045558
                          to the                   85          0.013749001
                  the additional                   10         0.0015633883
                 additional post                    4         8.8936323E-4
                         post of                    7         0.0014229811
                     of chairman                   11         0.0018337409
                         The Fed                    2         5.2101427E-4
                    Fed chairman                    4          8.888889E-4
                     chairman 's                   10         0.0017857143
                      's caution                    1          3.338341E-4
                     caution was                    1         3.5669698E-4
                    was apparent                    1          3.459609E-4
                  apparent again                    1          3.565698E-4
                        again on                    1          3.565698E-4
                          on the                   65          0.011466296
                      the Monday                    1         2.8425243E-4
                  Monday morning                    2         5.3409295E-4
                   morning after                    1         3.5625222E-4
                       after the                    7         0.0014199503
                      the market                   13          0.001989767
                       market 's                    4         8.8479917E-4
                       's plunge                    1          3.338341E-4
                        plunge ,                    1          3.566334E-4
                          , when                   11         0.0015727392
                        when the                    6         0.0012424565
                     the central                    3         5.6850485E-4
                    central bank                    3          7.130125E-4
                       bank took                    1          3.549246E-4
                       took only                    1         3.5599858E-4
                     only modest                    1          3.557453E-4
                    modest steps                    1          3.563792E-4
                        steps to                    1          3.564427E-4
                          to aid                    1          3.197442E-4
                         aid the                    1          3.565698E-4
                     the markets                    3         5.6850485E-4
                     Cipher Data                    1         3.5669698E-4
                       Data said                    1         3.5669698E-4
                        said Mr.                   12         0.0022082555
                    Mr. Marinaro                    1         3.4578147E-4
           Marinaro consequently                    1         3.5669698E-4
                consequently has                    1         3.5669698E-4
                    has resigned                    1          3.511236E-4
                   resigned from                    2         5.3342816E-4
                      from those                    1         3.5161743E-4
                     those posts                    4         8.8983803E-4
                       posts and                    1          3.563157E-4
                        and from                    1         3.1831927E-4
                        from the                   22         0.0040436005
                     the company                   84          0.012080728
                      company 's                   42          0.007474361
                        's board                   48          0.008178935
                    Most notably                    1          3.566334E-4
                       notably ,                    1         3.5650624E-4
                       , several                    2          3.931848E-4
                      several of                    1          3.563157E-4
                          of the                  266          0.040800735
                  the regulatory                    1         2.8425243E-4
                regulatory steps                    1          3.566334E-4
               steps recommended                    1          3.564427E-4
                  recommended by                    1         3.5669698E-4
                          by the                   43           0.00766417
                       the Brady                    1         2.8425243E-4
                      Brady Task                    1         3.5599858E-4
                      Task Force                    2         5.3495006E-4
                         Force ,                    2         5.3495006E-4
                         , which                   37         0.0049803406
                  which analyzed                    1         3.5379446E-4
                    analyzed the                    2         5.3495006E-4
                        the 1987                    3         5.6850485E-4
                      1987 crash                    3         7.1237754E-4
                         crash ,                    1         3.5650624E-4
                         , would                    8         0.0011795544
                        would be                   21          0.003865074
                      be revived                    1          3.500175E-4
                      revived --                    1         3.5669698E-4
                   -- especially                    1         3.5511365E-4
              especially because                    1          3.563157E-4
                    because that                    1          3.554292E-4
                      that group                    2         5.1168347E-4
                        group 's                    5         0.0010619469
                     's chairman                   66          0.011183442
                     chairman is                    4          8.116883E-4
                          is now                    1         3.4524425E-4
                         now the                    2         5.3371285E-4
                    the Treasury                    7         0.0011370097
              Treasury secretary                    1         3.5599858E-4
                     Mr. Gaubert                    1         3.4578147E-4
                       Gaubert ,                    1         3.5669698E-4
                           , who                   63          0.008387943
                         who was                   10         0.0019284713
                    was chairman                    6         0.0012108631
                    chairman and                  140           0.02288961
                         and the                   40          0.006525545
                    the majority                    1         2.8425243E-4
            majority stockholder                    1         3.5599858E-4
                  stockholder of                    1         3.5669698E-4
                  of Independent                    2          4.584352E-4
            Independent American                    1          3.566334E-4
                      American ,                    1         3.5536604E-4
                           , had                    5          7.863696E-4
                had relinquished                    1         3.5373188E-4
                relinquished his                    1         3.5669698E-4
                     his control                    2          5.276117E-4
                      control in                    2         5.3390284E-4
                     in exchange                    1          3.352892E-4
                    exchange for                    1         3.5593522E-4
                     for federal                    1          3.471017E-4
              federal regulators                    2         5.3380785E-4
                    regulators '                    1         3.5650624E-4
                     ' agreement                    1         3.5536604E-4
                    agreement to                    1         3.5606197E-4
                         to drop                    2          4.796163E-4
                      drop their                    1         3.5618877E-4
                   their inquiry                    1          3.553029E-4
                    inquiry into                    1          3.565698E-4
                        into his                    3         7.1073207E-4
                  his activities                    1         3.5174112E-4
                   activities at                    1          3.566334E-4
                      at another                    1         3.5050823E-4
                 another savings                    1          3.558719E-4
                     savings and                    2          5.348547E-4
                        and loan                    2          4.774789E-4
                        And Bill                    1         3.5625222E-4
                 Bill Konopnicki                    1          3.565698E-4
                    Konopnicki ,                    1         3.5669698E-4
                             , a                   68           0.00904325
                       a Safford                    1         3.2320622E-4
                       Safford ,                    1         3.5669698E-4
                         , Ariz.                    1          2.621232E-4
                         Ariz. ,                    1         3.5669698E-4
                      , licensee                    1          2.621232E-4
                     licensee of                    1         3.5669698E-4
                     of McDonald                    1          3.056235E-4
                     McDonald 's                    1         3.5669698E-4
                        's Corp.                    1          3.338341E-4
                       Corp. who                    2         5.2947405E-4
                          who is                   13          0.002454418
                     is chairman                   12         0.0022440876
                     chairman of                  225          0.036688313
                          of the                  266          0.040800735
                     the company                   84          0.012080728
                      company 's                   42          0.007474361
                     's National                    1          3.338341E-4
              National Operators                    1          3.558086E-4
              Operators Advisory                    1         3.5669698E-4
                  Advisory Board                    2          5.348547E-4
                         Board ,                    3         7.1123755E-4
                          , says                   12         0.0017038007
                       says some                    1         3.5323208E-4
                  some fast-food                    1          3.553029E-4
               fast-food outlets                    1          3.565698E-4
                      outlets ``                    1         3.5669698E-4
                        `` could                    1         3.4164675E-4
                        could be                    3         7.1035343E-4
                           be in                    1          3.500175E-4
                      in serious                    1          3.352892E-4
                 serious trouble                    1          3.565698E-4
                       trouble ,                    1          3.566334E-4
                         , based                    1          2.621232E-4
                        based on                    2         5.3475937E-4
                          on the                   65          0.011466296
                      the amount                    2         4.2637862E-4
                       amount of                    2         5.3495006E-4
                  of discounting                    1          3.056235E-4
                discounting that                    1          3.566334E-4
                      that seems                    1          3.411223E-4
                        seems to                    1         3.5650624E-4
                           to be                   28          0.004636291
                        be going                    1          3.500175E-4
                        going on                    1          3.563157E-4
                      '' Richard                    1         3.4205575E-4
                 Richard Breeden                    2         5.3314376E-4
                       Breeden ,                    1          3.566334E-4
                           , the                  111          0.014678899
                         the new                   23          0.003411029
                    new chairman                    6         0.0012341326
                     chairman of                  225          0.036688313
                          of the                  266          0.040800735
                         the SEC                    3         5.6850485E-4
                           SEC ,                    1         3.5625222E-4
                           , has                   12         0.0017038007
                         has n't                    9          0.001755618
                       n't taken                    1          3.511236E-4
                         taken a                    1          3.563792E-4
                        a formal                    3         6.4641243E-4
                 formal position                    1         3.5650624E-4
                     position on                    1          3.557453E-4
                          on the                   65          0.011466296
                        the bill                    6          9.948835E-4
                          bill ,                    1         3.5612535E-4
                         , which                   37         0.0049803406
                     which would                    2         5.3069164E-4
                      would also                    4         8.7842584E-4
                    also require                    1         3.5323208E-4
               require investors                    1          3.566334E-4
                    investors to                    1         3.5593522E-4
                     to disclose                    1          3.197442E-4
                  disclose large                    1         3.5669698E-4
                    large trades                    1         3.5669698E-4
                      trades and                    1         3.5669698E-4
                        and give                    1         3.1831927E-4
                        give the                    5         0.0010679957
                         the SEC                    3         5.6850485E-4
                  SEC additional                    1         3.5625222E-4
            additional authority                    1          3.557453E-4
                authority during                    1          3.565698E-4
                   during market                    1          3.564427E-4
              market emergencies                    1         3.5391966E-4
                           And ,                    3         7.1250444E-4
                          , with                    9          0.001310616
                         with no                    2          5.249344E-4
                        no other                    1         3.5555556E-4
                    other offers                    1         3.5454705E-4
                       offers on                    1          3.564427E-4
                          on the                   65          0.011466296
                       the table                    2         4.2637862E-4
                         table ,                    1          3.566334E-4
                           , the                  111          0.014678899
                       the board                  144            0.0206083
                board apparently                    1         3.3489618E-4
                 apparently felt                    1         3.5669698E-4
                         felt no                    1          3.565698E-4
                     no pressure                    1         3.5555556E-4
                     pressure to                    3          7.126314E-4
                          to act                    1          3.197442E-4
                          act on                    1          3.566334E-4
                           on it                    1         3.4746353E-4
                            In a                   11         0.0021238937
                     a statement                   12         0.0021008404
                     statement ,                    5         0.0010672358
                         , Craig                    1          2.621232E-4
                        Craig O.                    1         3.5669698E-4
                        O. McCaw                    1          3.563157E-4
                         McCaw ,                    2          5.345688E-4
                      , chairman                  187           0.02463958
                    chairman and                  140           0.02288961
                       and chief                  157          0.025147222
                 chief executive                  164          0.028467909
               executive officer                  114          0.019844694
                      officer of                   46          0.008186727
                        of McCaw                    1          3.056235E-4
                         McCaw ,                    2          5.345688E-4
                          , said                  100          0.013237221
                          said :                    6         0.0011890606
                            : ``                   12         0.0023082385
                           `` We                   13         0.0023915272
                        We trust                    1          3.557453E-4
                       trust LIN                    1         3.5650624E-4
                        LIN will                    1          3.564427E-4
                       will take                    3          6.993007E-4
                         take no                    1          3.557453E-4
                      no further                    1         3.5555556E-4
                 further actions                    1         3.5625222E-4
                    actions that                    1          3.564427E-4
                      that favor                    1          3.411223E-4
